Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,_report_date,_source_file,_ingested_at
,Russia,2020-02-12T14:43:03,2,0,2,60.0,90.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Snohomish County, WA",US,2020-03-01T20:23:06,2,0,0,48.033,-121.8339,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Afghanistan,2020-02-24T23:33:02,5,0,0,33.0,65.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Algeria,2020-02-25T23:43:03,1,0,0,28.0339,1.6596,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Belarus,2020-02-28T16:23:03,1,0,0,53.7098,27.9534,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Cambodia,2020-02-12T07:43:02,1,0,1,11.55,104.9167,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
" Montreal, QC",Canada,2020-02-28T05:23:07,3,0,0,45.5017,-73.5673,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Dominican Republic,2020-03-01T16:03:06,1,0,0,18.7357,-70.1627,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Estonia,2020-02-27T16:23:03,1,0,0,58.5953,25.0136,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Ireland,2020-03-01T07:13:07,1,0,0,53.1424,-7.6921,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Lithuania,2020-02-28T16:23:03,0,0,0,55.1694,23.8813,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Luxembourg,2020-03-01T07:13:07,1,0,0,49.8153,6.1296,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.25,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.886,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Nigeria,2020-02-28T16:23:03,1,0,0,9.082,8.6753,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,San Marino,2020-03-01T07:13:07,1,1,0,43.9424,12.4578,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0,81.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
